"","Sample","Tissue","Thickness","ID","Symbiont.Intensity","Tissue.Intensity","Plug","Spat","Polyps","Cohort","Temperature","Nutrition","Treatment","Tank","Area","Red","Ratio","Green"
"291","A407b","Colony",709.076875,"A407b Colony",564.619045,614.862716666667,"A407","b",10,"20170610","Cool","No Heterotrophy","CN","13",NA,26.5015449981482,0.918284732014569,2.23824343900767
"292","A409a","Colony",439.091428571429,"A409a Colony",563.028333333333,544.175,"A409","a",5,"20170611","Ambient","No Heterotrophy","AN","22",4.18,26.436086306462,1.03464571752347,1.96395172868728
"293","A409b","Colony",432.45125,"A409b Colony",614.9875,565.981666666667,"A409","b",2,"20170611","Ambient","No Heterotrophy","AN","22",1.197,28.5742356281634,1.08658554900188,2.04856880472883
"294","A409c","Colony",518.089,"A409c Colony",692.783333333333,548.188333333333,"A409","c",4,"20170611","Ambient","No Heterotrophy","AN","22",3.143,31.775578508429,1.26376883856825,1.97952478884534
"295","A409d","Colony",499.54,"A409d Colony",630.893333333333,556.698333333333,"A409","d",3,"20170611","Ambient","No Heterotrophy","AN","22",1.893,29.2287697351275,1.13327684952054,2.01254640228681
"296","A409e","Colony",556.829583333333,"A409e Colony",643.973333333333,551.89,"A409","e",6,"20170611","Ambient","No Heterotrophy","AN","22",4.441,29.7670191898825,1.16685088212023,1.99388847929844
"297","A423a","Colony",583.3725,"A423a Colony",705.3975,634.533333333333,"A423","a",2,"20170611","Cool","No Heterotrophy","CN","20",1.635,32.2946586560224,1.11167918680395,2.31457193486218
"298","A423b","Colony",637.595222222222,"A423b Colony",771.673333333333,677.713333333333,"A423","b",4,"20170611","Cool","No Heterotrophy","CN","20",3.082,35.0219469706322,1.13864269061648,2.48212461035014
"299","A424a","Colony",557.408125,"A424a Colony",724.340726666667,620.923708333333,"A424","a",5,"20170611","Cool","No Heterotrophy","CN","20",NA,33.0741832297711,1.16655350237942,2.26176209046344
"300","A424b","Colony",499.767083333333,"A424b Colony",562.413183333333,568.609928333333,"A424","b",3,"20170611","Cool","No Heterotrophy","CN","20",NA,26.4107725333663,0.989101940203254,2.05876732890976
"301","A424c","Colony",434.435,"A424c Colony",554.746703333333,608.052501666667,"A424","c",3,"20170611","Cool","No Heterotrophy","CN","20",NA,26.095292511968,0.912333559705416,2.21181755332221
"302","A449a","Colony",664.430444444444,"A449a Colony",755.406666666667,803.043333333333,"A449","a",3,"20170611","Ambient","Heterotrophy","AH","18",2.917,34.3525643663498,0.940679830478223,2.96844644497045
"303","A449b","Colony",663.8125,"A449b Colony",606.5,693.19,"A449","b",4,"20170611","Ambient","Heterotrophy","AH","18",3.767,28.2249701658368,0.874940492505662,2.5421791936673
"304","A449c","Colony",518.852727272727,"A449c Colony",740.633333333333,610.878333333333,"A449","c",7,"20170611","Ambient","Heterotrophy","AH","18",4.632,33.7446332798376,1.21240727149705,2.2227827144206
"305","A497a","Colony",538.35125,"A497a Colony",602.847723333333,667.379736666667,"A497","a",4,"20170611","Cool","Heterotrophy","CH","17",2.823,28.0746768994417,0.903305405022261,2.44202683895335
"306","A497b","Colony",726.67375,"A497b Colony",685.43579,835.7351675,"A497","b",3,"20170611","Cool","Heterotrophy","CH","17",2.288,31.4732229126373,0.820159084666017,3.09530156959373
"307","A497c","Colony",535.451666666667,"A497c Colony",628.967721666667,631.238921666667,"A497","c",5,"20170611","Cool","Heterotrophy","CH","17",4.612,29.1495297175699,0.996401996261569,2.30178852844929
"308","A535a","Colony",698.988055555556,"A535a Colony",588.655063333333,673.041226666667,"A535","a",11,"20170612","Cool","Heterotrophy","CH","24",12.821,27.4906408515425,0.8746196221125,2.46399529186553
"309","A535b","Colony",616.461111111111,"A535b Colony",590.55971,658.893603333333,"A535","b",5,"20170612","Cool","Heterotrophy","CH","24",6.356,27.5690181474013,0.896289942734862,2.40909783606897
"310","A535c","Colony",352.87,"A535c Colony",649.3280575,474.7359575,"A535","c",1,"20170612","Cool","Heterotrophy","CH","24",1.885,29.9873691411876,1.36776674958311,1.69450528695045
"311","A535d","Colony",653.02,"A535d Colony",509.455166666667,714.726045,"A535","d",6,"20170612","Cool","Heterotrophy","CH","24",11.076,24.2315199648848,0.712797819850915,2.62574616817353
"312","A563a","Colony",587.620833333333,"A563a Colony",677.643333333333,590.270833333333,"A563","a",2,"20170612","Cool","No Heterotrophy","CN","20",2.925,31.1525588796072,1.14802103554159,2.14281880149522
"313","A563b","Colony",499.260833333333,"A563b Colony",543.2,500.381666666667,"A563","b",1,"20170612","Cool","No Heterotrophy","CN","20",0.961,25.6201390889264,1.08557134720497,1.79401911709544
"314","A563c","Colony",572.2775,"A563c Colony",574.85,635.641666666667,"A563","c",8,"20170612","Cool","No Heterotrophy","CN","20",5.907,26.9225546273816,0.904361734205593,2.31887263461514
"315","A630a","Colony",681.805,"A630a Colony",737.304570833333,551.2614375,"A630","a",2,"20170612","Ambient","Heterotrophy","AH","21",1.975,33.607652805783,1.33748621013117,1.99144944899305
